Nome;Tipo
COLEGIO CRISTAO ALIANCADOS;Privada
ATIVA IDADE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;Privada
CEINF - PARAISO DA CRIANCA E CE FENNIX;Privada
C EST ATEND AO DEF DA AUDIOCOMUNICACAO;Estadual
COLEGIO IMPACTO CENTRO DE ENSINO LTDA - ME;Privada
CEDAE - C ESP NO DESENV E ACOMP ESCOLAR;Privada
CEGRAN - CENTRO DE ENSINO CAMPOGRANDENSE;Privada
CENTRO DE EDUCACAO ESPECIAL GIRASSOL;Privada
COLEGIO TICTAC E INSTITUTO PENRABEL;Privada
COLEGIO PINTE O SETE;Privada
CENTRO DESENV DO POTENCIAL HUMANO RAIO DE LUZ;Privada
ESCOLA CARROSSEL NOVO ESTILO;Privada
CENTRO DE EDUCACAO DE JOVENS E ADULTOS PROFª IGNES DE LAMONICA GUIMARAES - CEEJA-MS;Estadual
COLEGIO MARISTA ALEXANDER FLEMING;Privada
COLEGIO MILITAR DE CAMPO GRANDE;Federal
CEI- JOSE EDUARDO MARTINS JALLAD - ZEDU;Estadual
CEI - MARIA APARECIDA MORAES DAVILA - SANTA CASA;Privada
COLEGIO ADVENTISTA JARDIM DOS ESTADOS;Privada
COLEGIO ADVENTISTA CAMPO-GRANDENSE;Privada
EM ADVOGADO DEMOSTHENES MARTINS;Municipal
EE ARACY EUDOCIAK;Estadual
EE ELVIRA MATHIAS DE OLIVEIRA;Estadual
EE JOAO CARLOS FLORES;Estadual
EE JOSE FERREIRA BARBOSA;Estadual
EE LUISA VIDAL BORGES DANIEL;Estadual
EE MARCAL DE SOUZA TUPA-Y;Estadual
EE PADRE FRANCO DELPIANO;Estadual
EE PROFª ADA TEIXEIRA DOS SANTOS PEREIRA;Estadual
EM PROFESSOR CARLOS HENRIQUE SCHRADER;Municipal
ESCOLA ESTADUAL PROFESSORA FLAVINA MARIA DA SILVA;Estadual
EM PROFESSORA HILDA DE SOUZA FERREIRA;Municipal
EE PROFª JOELINA DE ALMEIDA XAVIER;Estadual
EE PROFª THEREZA NORONHA DE CARVALHO;Estadual
EE PROFª ELIA FRANCA CARDOSO;Estadual
EE PROF HENRIQUE CIRYLLO CORREA;Estadual
EE AMELIO DE CARVALHO BAIS;Estadual
EE ARLINDO DE ANDRADE GOMES;Estadual
EE BLANCHE DOS SANTOS PEREIRA;Estadual
EE DOLOR FERREIRA DE ANDRADE;Estadual
EE DONA CONSUELO MULLER;Estadual
EE DR ARTHUR DE VASCONCELLOS DIAS;Estadual
EE JOSE BARBOSA RODRIGUES;Estadual
EE JOSE MAMEDE DE AQUINO;Estadual
EE JOSE MARIA HUGO RODRIGUES;Estadual
ESCOLA ESTADUAL LINO VILLACHA;Estadual
EE LUCIA MARTINS COELHO;Estadual
EE MAESTRO FREDERICO LIEBERMANN;Estadual
EE MAESTRO HEITOR VILLA LOBOS;Estadual
EE MARIA ELIZA BOCAYUVA CORREA DA COSTA;Estadual
CEEP PE JOAO GREINER;Estadual
EE PADRE MARIO BLANDINO;Estadual
EE PROFª IZAURA HIGA;Estadual
EE PROFª ALICE NUNES ZAMPIERE;Estadual
EE PROFª CELIA MARIA NAGLIS;Estadual
EE PROF EMYGDIO CAMPOS WIDAL;Estadual
EE PROFª MARIA DE LOURDES TOLEDO AREIAS;Estadual
CEEP PROFª MARIA DE LOURDES WIDAL ROMA;Estadual
ESCOLA ESTADUAL PROF SEVERINO DE QUEIROZ;Estadual
ESCOLA ESTADUAL PROF SILVIO OLIVEIRA DOS SANTOS;Estadual
EE PROF ULISSES SERRA;Estadual
EE PROFª BRASILINA FERRAZ MANTERO;Estadual
EE RUI BARBOSA;Estadual
EE SEBASTIAO SANTANA DE OLIVEIRA;Estadual
EE TEOTONIO VILELA;Estadual
EE WALDEMIR BARROS DA SILVA;Estadual
EE CORACAO DE MARIA;Estadual
EE GAL MALAN;Estadual
EE ANTONIO DELFINO PEREIRA E C CULT ED TIA EVA;Estadual
EM NICOLAU FRAGELLI;Municipal
EE ORCIRIO THIAGO DE OLIVEIRA;Estadual
EE PROFª FAUSTA GARCIA BUENO;Estadual
EE SAO FRANCISCO;Estadual
EE SAO JOSE;Estadual
EE 11 DE OUTUBRO;Estadual
EE 26 DE AGOSTO;Estadual
