Nome;Tipo
C EST ATEND AO DEF DA AUDIOCOMUNICACAO;Estadual
CEAMETEA-CENTRO ESTADUAL DE APOIO MULTIDISCIPLINAR EDUCACIONAL;Estadual
CEEP HERCULES MAYMONE;Estadual
CEEP PE JOAO GREINER;Estadual
CEEP PROFª MARIA DE LOURDES WIDAL ROMA;Estadual
CEI- JOSE EDUARDO MARTINS JALLAD - ZEDU;Estadual
CENTRO DE APOIO PEDAGOGICO AO DEFICIENTE VISUAL - CAP-DV-MS;Estadual
CENTRO DE CAPACITACAO DE PROFISSIONAIS DA EDUCACAO E DE ATENDIMENTO AS PESSOAS COM SURDEZ - CAS;Estadual
CENTRO DE EDUCACAO DE JOVENS E ADULTOS PROFª IGNES DE LAMONICA GUIMARAES - CEEJA-MS;Estadual
CENTRO DE EDUCACAO PROFISSIONAL EZEQUIEL FERREIRA LIMA;Estadual
CENTRO ESTADUAL DE ATENDIMENTO MULTIDISCIPLINAR PARA ALTAS HABILIDADES SUPERDOTACAO-CEAMAHS;Estadual
CENTRO ESTADUAL DE EDUCACAO ESPECIAL E INCLUSIVA;Estadual
CENTRO ESTADUAL DE FORMACAO DE PROFESSORES INDIGENAS DE MS;Estadual
CRECHE IRMA IRMA ZORZI;Estadual
EE 11 DE OUTUBRO;Estadual
EE 26 DE AGOSTO;Estadual
EE ADVENTOR DIVINO DE ALMEIDA;Estadual
EE AMANDO DE OLIVEIRA;Estadual
EE AMELIO DE CARVALHO BAIS;Estadual
EE ANTONIO DELFINO PEREIRA E C CULT ED TIA EVA;Estadual
EE ARACY EUDOCIAK;Estadual
EE ARLINDO DE ANDRADE GOMES;Estadual
EE ARLINDO DE SAMPAIO JORGE;Estadual
EE BLANCHE DOS SANTOS PEREIRA;Estadual
EE CORACAO DE MARIA;Estadual
EE DOLOR FERREIRA DE ANDRADE;Estadual
EE DONA CONSUELO MULLER;Estadual
EE DR ARTHUR DE VASCONCELLOS DIAS;Estadual
EE ELVIRA MATHIAS DE OLIVEIRA;Estadual
EE GAL MALAN;Estadual
EE JOAO CARLOS FLORES;Estadual
EE JOAQUIM MURTINHO;Estadual
EE JOSE ANTONIO PEREIRA;Estadual
EE JOSE BARBOSA RODRIGUES;Estadual
EE JOSE FERREIRA BARBOSA;Estadual
EE JOSE MAMEDE DE AQUINO;Estadual
EE JOSE MARIA HUGO RODRIGUES;Estadual
EE LUCIA MARTINS COELHO;Estadual
EE LUISA VIDAL BORGES DANIEL;Estadual
EE MAESTRO FREDERICO LIEBERMANN;Estadual
EE MAESTRO HEITOR VILLA LOBOS;Estadual
EE MANOEL BONIFACIO NUNES DA CUNHA;Estadual
EE MARCAL DE SOUZA TUPA-Y;Estadual
EE MARIA CONSTANCA BARROS MACHADO;Estadual
EE MARIA ELIZA BOCAYUVA CORREA DA COSTA;Estadual
EE OLINDA CONCEICAO TEIXEIRA BACHA;Estadual
EE ORCIRIO THIAGO DE OLIVEIRA;Estadual
EE PADRE FRANCO DELPIANO;Estadual
EE PADRE JOSE SCAMPINI;Estadual
EE PADRE MARIO BLANDINO;Estadual
EE POLO FRANCISCO CANDIDO DE REZENDE;Estadual
EE POLO PROFª REGINA LUCIA ANFFE NUNES BETINE;Estadual
EE PROF EMYGDIO CAMPOS WIDAL;Estadual
EE PROF HENRIQUE CIRYLLO CORREA;Estadual
EE PROF ULISSES SERRA;Estadual
EE PROFª ADA TEIXEIRA DOS SANTOS PEREIRA;Estadual
EE PROFª ALICE NUNES ZAMPIERE;Estadual
EE PROFª BRASILINA FERRAZ MANTERO;Estadual
EE PROFª CELIA MARIA NAGLIS;Estadual
EE PROFª CLARINDA MENDES DE AQUINO;Estadual
EE PROFª DELMIRA RAMOS DOS SANTOS;Estadual
