Restrição de Atendimento;Nome;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Tipo;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude;Lat tratada;Long tratada;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO CRISTAO ALIANCADOS;50001558;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA PEDRO MARTINS, 1001 VILA DO POLONES. 79032-340 Campo Grande - MS.;(67) 40428121;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;                              ;                              ;   ;                           ;;;Privada;207
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ATIVA IDADE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;50005049;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DOUTOR ZERBINI, 243 CHACARA CACHOEIRA. 79040-040 Campo Grande - MS.;(67) 33269497;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.045.936;-5.458.425;-2.045.936;-5.458.425;;;Estadual;83
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEINF - PARAISO DA CRIANCA E CE FENNIX;50005103;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA SAO MATEUS, 262 VILA NASSER. 79117-210 Campo Grande - MS.;(67) 33650080;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.041.617;-546.348.233;-2.041.617;-546.348.233;;;Federal;2
ESCOLA EXCLUSIVA DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO;C EST ATEND AO DEF DA AUDIOCOMUNICACAO;50005111;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ANTONIO DA SILVA VENDAS, 185 JARDIM BELA VISTA. 79003-250 Campo Grande - MS.;(67) 33141289;Estadual;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;Atendimento Educacional Especializado;-204.734.488;-545.901.398;-204.734.488;-545.901.398;;;Municipal;206
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO IMPACTO CENTRO DE ENSINO LTDA - ME;50005120;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ALAGOAS, 1081 JARDIM DOS ESTADOS. 79020-121 Campo Grande - MS.;(67) 30255585;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.045.006;-5.459.651;-2.045.006;-5.459.651;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEDAE - C ESP NO DESENV E ACOMP ESCOLAR;50005154;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ARGEMIRO FIALHO, 594 VILA BANDEIRANTE. 79006-540 Campo Grande - MS.;(67) 33314756;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.725.412;-546.383.682;-204.725.412;-546.383.682;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEGRAN - CENTRO DE ENSINO CAMPOGRANDENSE;50005162;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA MATO GROSSO, 952 CENTRO. 79005-000 Campo Grande - MS.;(67) 33822094;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Profissional;;-204.655.066;-546.272.976;-204.655.066;-546.272.976;;;;
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA;CENTRO DE EDUCACAO ESPECIAL GIRASSOL;50005189;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA JOANA DARC, 1450 SANTA BRANCA. 79070-901 Campo Grande - MS.;(67) 40422250;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos;Atividade Complementar;-205.166.724;-54.617.541;-205.166.724;-54.617.541;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO TICTAC E INSTITUTO PENRABEL;50005200;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA BRASILIA, 994 JARDIM IMA. 79102-050 Campo Grande - MS.;(67) 30289200;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-2.044.798;-5.466.032;-2.044.798;-5.466.032;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO PINTE O SETE;50005278;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ARARIBA, 28 VILA MORENINHA II. 79065-204 Campo Grande - MS.;(67) 982130710;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.055.308;-5.457.626;-2.055.308;-5.457.626;;;;
